               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.096464,            0.025977,            0.049745,          0.00066288,             0.17801,          0.00052007,             0.00011,            0.074683,            0.013019,            0.042608,            0.070667,           0.0032593,           0.0032593
                   1,            0.073335,            0.020659,            0.042272,           0.0011114,             0.40953,           0.0077925,            0.002052,            0.060201,            0.010083,            0.036393,            0.040232,           0.0061575,           0.0061575
                   2,            0.063073,            0.020054,            0.040018,             0.87065,            0.093103,            0.052333,            0.014214,             0.06877,           0.0092308,            0.038835,           0.0093564,           0.0086157,           0.0086157
                   3,            0.058494,            0.017421,            0.037335,             0.92123,            0.072414,             0.10114,            0.045568,            0.055345,            0.011747,            0.032668,             0.00802,             0.00802,             0.00802
                   4,            0.053093,            0.016688,            0.034281,             0.73413,            0.097885,             0.12759,            0.059518,            0.058327,           0.0082256,            0.041471,             0.00802,             0.00802,             0.00802
                   5,             0.05041,            0.015768,            0.033123,             0.56033,             0.17699,             0.15301,            0.059051,            0.048477,           0.0078927,            0.029021,             0.00736,             0.00736,             0.00736
                   6,            0.046669,            0.014963,            0.032077,              0.7837,              0.1849,             0.15958,            0.076699,             0.04825,           0.0091217,            0.032428,              0.0067,              0.0067,              0.0067
                   7,            0.044863,            0.013265,            0.031495,             0.70184,             0.22328,              0.3013,              0.1781,            0.043357,           0.0080172,            0.027858,             0.00604,             0.00604,             0.00604
                   8,            0.041288,            0.012179,            0.026023,             0.67667,             0.37201,             0.34265,             0.18402,            0.037939,           0.0065293,             0.02635,             0.00538,             0.00538,             0.00538
                   9,             0.04408,            0.012464,            0.025309,             0.60963,             0.48498,             0.51025,             0.32456,            0.036083,           0.0056256,            0.023608,             0.00472,             0.00472,             0.00472
                  10,            0.040977,            0.012168,            0.023121,             0.65622,             0.46956,              0.4406,             0.27681,            0.035315,           0.0065966,            0.022353,             0.00406,             0.00406,             0.00406
                  11,            0.039305,            0.011247,            0.019791,             0.60601,              0.5991,             0.58677,              0.3474,            0.033511,           0.0052283,             0.01922,              0.0034,              0.0034,              0.0034
                  12,            0.038466,            0.011568,            0.019633,             0.63019,             0.56607,              0.5511,             0.31881,            0.034561,           0.0052646,             0.02393,             0.00274,             0.00274,             0.00274
                  13,             0.03502,            0.011098,            0.018147,             0.71217,             0.65888,             0.61762,             0.41109,            0.031414,           0.0050139,            0.015873,             0.00208,             0.00208,             0.00208
                  14,            0.033766,            0.010019,            0.016902,             0.70872,             0.66302,             0.61423,              0.4106,            0.029771,           0.0050344,            0.016253,             0.00142,             0.00142,             0.00142
