               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.09032,            0.015207,            0.037134,          0.00015371,             0.31731,            0.012725,           0.0055371,            0.050989,           0.0076284,            0.024432,            0.070323,           0.0032975,           0.0032975
                   1,            0.070068,           0.0077733,            0.024621,          0.00044419,             0.51282,            0.001947,          0.00059409,            0.046829,           0.0041492,            0.020597,            0.039666,           0.0059744,           0.0059744
                   2,            0.066343,           0.0051112,            0.018569,           0.0002543,             0.42308,            0.056821,            0.016741,            0.047822,           0.0033181,            0.016365,           0.0083497,           0.0079913,           0.0079913
                   3,            0.062566,           0.0046628,            0.016874,           0.0005729,             0.40385,            0.061183,            0.022233,            0.048546,           0.0026103,            0.021761,             0.00703,             0.00703,             0.00703
                   4,            0.061845,           0.0043077,            0.013562,           0.0058729,             0.35791,            0.058906,            0.020398,            0.053451,           0.0026544,            0.026278,             0.00703,             0.00703,             0.00703
                   5,             0.06042,           0.0044779,             0.01312,             0.00106,             0.35256,             0.08898,            0.023996,            0.047845,           0.0024543,            0.026204,             0.00604,             0.00604,             0.00604
                   6,            0.053637,           0.0042787,            0.011669,           0.0016544,             0.69765,             0.12563,            0.043694,             0.04014,           0.0023451,            0.009915,             0.00505,             0.00505,             0.00505
                   7,            0.051835,           0.0045162,           0.0091825,           0.0032837,             0.61325,             0.34996,             0.17406,            0.036264,           0.0023826,            0.012607,             0.00406,             0.00406,             0.00406
                   8,            0.047331,            0.004424,           0.0080615,           0.0071973,             0.36538,             0.13215,            0.065325,            0.040723,            0.002496,            0.030665,             0.00307,             0.00307,             0.00307
                   9,            0.044151,           0.0040583,           0.0071487,              0.8231,             0.23718,             0.31533,             0.16573,            0.037582,           0.0020504,           0.0055762,             0.00208,             0.00208,             0.00208
