               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.16098,             0.01433,            0.048993,          0.00049741,             0.35963,           0.0028677,           0.0010088,             0.10918,            0.005245,            0.038431,            0.081034,          0.00099824,          0.00099824
                   1,             0.10946,            0.010674,            0.038967,           0.0011752,             0.36277,            0.050567,            0.022074,            0.090658,           0.0047194,            0.033815,            0.062022,           0.0019868,           0.0019868
                   2,            0.099597,            0.010023,            0.031328,           0.0033121,              0.5643,             0.14223,            0.085521,            0.083345,           0.0046671,            0.024151,            0.042999,            0.002964,            0.002964
                   3,            0.096482,           0.0094237,            0.025437,             0.71457,            0.070932,             0.10449,            0.050764,            0.083878,           0.0044814,            0.021901,            0.023965,           0.0039297,           0.0039297
                   4,             0.09629,           0.0089072,            0.021227,             0.79812,             0.13277,             0.19895,             0.10464,            0.084414,           0.0042392,            0.015588,           0.0049193,            0.004884,            0.004884
                   5,            0.097118,           0.0086409,            0.017355,             0.91325,             0.12883,             0.30815,             0.16235,             0.08334,           0.0042457,            0.011898,           0.0048572,           0.0048572,           0.0048572
                   6,            0.095029,           0.0082401,            0.015065,             0.87372,              0.2157,             0.36849,             0.18667,            0.079452,           0.0039525,           0.0087948,           0.0048572,           0.0048572,           0.0048572
                   7,            0.092251,           0.0080246,            0.012957,             0.84881,              0.2974,             0.42557,             0.24808,            0.075917,           0.0039125,           0.0067694,           0.0048287,           0.0048287,           0.0048287
                   8,            0.088843,           0.0077781,            0.011741,               0.761,              0.3372,             0.46236,             0.25628,            0.072766,           0.0036108,           0.0066516,           0.0048001,           0.0048001,           0.0048001
                   9,            0.087948,            0.007595,            0.010741,             0.75203,             0.35664,             0.46374,             0.26908,            0.073229,           0.0037407,           0.0061935,           0.0047715,           0.0047715,           0.0047715
                  10,            0.087998,           0.0075889,           0.0095908,             0.87409,              0.3556,             0.52294,             0.30977,            0.068617,           0.0034604,           0.0045855,            0.004743,            0.004743,            0.004743
