               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.080907,            0.010409,                   0,           0.0004142,             0.64286,          0.00063476,          0.00018654,            0.047701,           0.0025435,                   0,             0.07009,           0.0033233,           0.0033233
                   1,            0.061164,           0.0054913,                   0,          0.00091839,             0.85714,             0.10698,            0.039606,            0.038787,           0.0025805,                   0,            0.040052,            0.006619,            0.006619
                   2,             0.05902,           0.0051834,                   0,          0.00066932,              0.7551,            0.026948,           0.0089066,            0.046319,           0.0026793,                   0,           0.0099771,            0.009877,            0.009877
                   3,            0.061609,           0.0045502,                   0,            0.001351,             0.73469,            0.032202,            0.011075,            0.041179,            0.002626,                   0,           0.0098303,           0.0098303,           0.0098303
                   4,            0.061612,           0.0044761,                   0,           0.0023893,             0.37755,            0.080955,            0.017495,            0.046376,           0.0027028,                   0,           0.0098303,           0.0098303,           0.0098303
                   5,            0.057532,           0.0046241,                   0,           0.0015399,             0.80612,             0.15275,            0.034769,            0.038777,           0.0024326,                   0,           0.0097737,           0.0097737,           0.0097737
                   6,            0.053885,           0.0044782,                   0,           0.0003117,             0.41837,           0.0004364,          0.00010507,            0.054781,           0.0080458,                   0,           0.0097171,           0.0097171,           0.0097171
                   7,            0.054068,           0.0046667,                   0,          0.00073382,             0.41837,          0.00076129,           0.0001965,            0.055916,           0.0072581,                   0,           0.0096606,           0.0096606,           0.0096606
                   8,            0.051942,           0.0045207,                   0,            0.064786,              0.2551,             0.13184,            0.045188,             0.03875,           0.0025906,                   0,            0.009604,            0.009604,            0.009604
                   9,            0.050578,           0.0044052,                   0,             0.49268,             0.35714,             0.27858,             0.10298,            0.036255,           0.0021487,                   0,           0.0095474,           0.0095474,           0.0095474
                  10,            0.049172,           0.0042176,                   0,             0.51462,             0.22449,             0.21815,            0.091885,            0.037921,           0.0022932,                   0,           0.0094909,           0.0094909,           0.0094909
                  11,            0.050102,           0.0043043,                   0,             0.73756,             0.41837,             0.49207,             0.22576,            0.033392,           0.0022798,                   0,           0.0094343,           0.0094343,           0.0094343
                  12,             0.04915,            0.004189,                   0,             0.66293,             0.48166,             0.56282,             0.21452,            0.031065,           0.0020621,                   0,           0.0093777,           0.0093777,           0.0093777
                  13,            0.048352,           0.0041926,                   0,             0.56961,             0.43219,             0.49423,             0.22528,            0.030743,           0.0020614,                   0,           0.0093211,           0.0093211,           0.0093211
                  14,            0.046139,           0.0040514,                   0,             0.78194,              0.2551,             0.32313,             0.13656,             0.03498,           0.0022963,                   0,           0.0092646,           0.0092646,           0.0092646
                  15,            0.046566,           0.0040915,                   0,             0.58495,             0.18703,              0.2599,             0.11461,            0.033242,            0.002504,                   0,            0.009208,            0.009208,            0.009208
                  16,            0.046717,           0.0040112,                   0,             0.54126,             0.41837,             0.41392,             0.14227,            0.034578,            0.002105,                   0,           0.0091514,           0.0091514,           0.0091514
                  17,             0.04547,           0.0039737,                   0,             0.83172,             0.38776,              0.4861,             0.24867,            0.030131,            0.002188,                   0,           0.0090949,           0.0090949,           0.0090949
                  18,            0.044305,           0.0041126,                   0,             0.75434,             0.47001,             0.58453,             0.26968,            0.030344,           0.0019367,                   0,           0.0090383,           0.0090383,           0.0090383
                  19,            0.043936,           0.0041393,                   0,             0.86678,             0.58163,             0.70427,             0.29859,            0.031332,            0.001717,                   0,           0.0089817,           0.0089817,           0.0089817
                  20,            0.044106,           0.0038469,                   0,             0.65976,              0.2449,             0.33926,             0.14378,             0.03164,           0.0023617,                   0,           0.0089251,           0.0089251,           0.0089251
                  21,            0.043696,           0.0038203,                   0,             0.65821,             0.39306,             0.49827,             0.24425,            0.029228,           0.0019697,                   0,           0.0088686,           0.0088686,           0.0088686
                  22,            0.043871,           0.0037774,                   0,              0.7949,             0.31633,             0.39191,              0.1948,            0.033189,           0.0025206,                   0,            0.008812,            0.008812,            0.008812
                  23,            0.043167,           0.0038864,                   0,             0.79364,             0.57143,              0.6744,             0.36166,            0.026657,           0.0018443,                   0,           0.0087554,           0.0087554,           0.0087554
                  24,            0.040733,           0.0035615,                   0,             0.86512,             0.32728,             0.49575,             0.22071,            0.035374,           0.0020272,                   0,           0.0086989,           0.0086989,           0.0086989
                  25,            0.042401,           0.0035476,                   0,             0.51018,             0.62709,             0.58818,             0.22334,            0.031466,           0.0017785,                   0,           0.0086423,           0.0086423,           0.0086423
                  26,            0.041886,           0.0035044,                   0,             0.89318,             0.59727,             0.75418,             0.39652,            0.028149,            0.001643,                   0,           0.0085857,           0.0085857,           0.0085857
                  27,            0.040622,            0.003481,                   0,             0.73585,             0.31274,             0.34987,             0.14203,            0.043257,           0.0019054,                   0,           0.0085291,           0.0085291,           0.0085291
                  28,            0.040305,           0.0035182,                   0,             0.84657,             0.60204,              0.6844,             0.35202,            0.026757,           0.0018957,                   0,           0.0084726,           0.0084726,           0.0084726
                  29,            0.040322,           0.0035744,                   0,             0.95437,             0.61224,              0.7358,             0.41052,            0.024854,           0.0016351,                   0,            0.008416,            0.008416,            0.008416
                  30,             0.04062,           0.0035178,                   0,             0.72594,             0.37755,             0.45679,             0.21471,            0.029883,           0.0023519,                   0,           0.0083594,           0.0083594,           0.0083594
                  31,            0.039639,           0.0033897,                   0,             0.63346,             0.51142,             0.57619,             0.29931,            0.027654,           0.0019117,                   0,           0.0083029,           0.0083029,           0.0083029
                  32,            0.040509,           0.0034035,                   0,             0.57595,            0.071429,            0.079814,            0.038597,            0.047803,           0.0049485,                   0,           0.0082463,           0.0082463,           0.0082463
                  33,            0.038926,           0.0033328,                   0,             0.92986,             0.68367,             0.78347,             0.41025,            0.024791,           0.0015233,                   0,           0.0081897,           0.0081897,           0.0081897
                  34,            0.038278,           0.0032862,                   0,             0.89621,             0.61224,             0.74631,             0.40003,            0.025949,           0.0016319,                   0,           0.0081331,           0.0081331,           0.0081331
                  35,            0.038388,           0.0033558,                   0,             0.82139,             0.63265,             0.74149,             0.37502,            0.026153,           0.0015816,                   0,           0.0080766,           0.0080766,           0.0080766
                  36,            0.038696,           0.0032316,                   0,             0.81612,             0.63405,             0.77249,             0.40663,             0.02634,           0.0015314,                   0,             0.00802,             0.00802,             0.00802
                  37,            0.039525,           0.0033899,                   0,             0.74874,             0.58163,             0.67776,             0.38723,            0.023581,            0.001783,                   0,           0.0079634,           0.0079634,           0.0079634
                  38,             0.03672,           0.0031817,                   0,             0.56125,             0.64286,             0.64967,             0.34641,             0.02467,           0.0016966,                   0,           0.0079069,           0.0079069,           0.0079069
                  39,            0.037529,           0.0031583,                   0,             0.50153,              0.2449,              0.2627,             0.12823,            0.042616,            0.002104,                   0,           0.0078503,           0.0078503,           0.0078503
                  40,            0.039162,           0.0032812,                   0,             0.65973,             0.52041,             0.55158,             0.25834,            0.027609,           0.0021842,                   0,           0.0077937,           0.0077937,           0.0077937
                  41,             0.03816,           0.0032522,                   0,              0.8997,             0.68367,              0.8027,              0.3711,            0.027644,           0.0014844,                   0,           0.0077371,           0.0077371,           0.0077371
                  42,            0.036767,           0.0030994,                   0,             0.88302,             0.77551,             0.83766,             0.47383,            0.024174,           0.0014577,                   0,           0.0076806,           0.0076806,           0.0076806
