               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10784,            0.027224,            0.050713,          0.00077072,             0.25772,           0.0030334,          0.00060258,            0.090097,            0.017609,            0.043772,               0.082,               0.002,               0.002
                   1,            0.087146,            0.023453,            0.041378,           0.0013058,              0.3737,           0.0067811,           0.0020427,            0.076093,            0.012579,            0.039198,            0.063059,           0.0040594,           0.0040594
                   2,            0.075398,            0.018833,            0.031005,             0.76496,             0.15109,            0.097352,            0.049609,            0.069734,           0.0095904,            0.031814,            0.044077,           0.0060772,           0.0060772
                   3,            0.074836,            0.018664,            0.028646,             0.76939,            0.054517,            0.011601,           0.0027006,            0.068985,           0.0091245,            0.029219,            0.025053,           0.0080535,           0.0080535
                   4,            0.070733,            0.017025,            0.025669,             0.80231,            0.054517,            0.032722,            0.012691,            0.064684,           0.0092336,            0.026862,            0.009604,            0.009604,            0.009604
                   5,            0.067788,            0.018662,            0.019979,             0.84411,            0.094237,            0.081245,            0.026467,              0.0703,           0.0088551,             0.02726,            0.009604,            0.009604,            0.009604
                   6,            0.066426,            0.017371,            0.016351,             0.89331,            0.079439,            0.099078,            0.018885,             0.06793,           0.0093295,            0.030384,            0.009505,            0.009505,            0.009505
                   7,            0.064733,            0.015641,            0.016465,             0.95552,             0.14755,             0.23422,            0.076896,            0.057384,           0.0087965,            0.013962,            0.009406,            0.009406,            0.009406
                   8,            0.060828,            0.014425,            0.014995,             0.94841,             0.16473,             0.19036,            0.068546,            0.056138,           0.0080123,             0.02133,            0.009307,            0.009307,            0.009307
                   9,            0.059808,             0.01297,             0.01492,             0.96419,              0.1584,             0.24043,             0.11552,             0.05689,           0.0076097,            0.017713,            0.009208,            0.009208,            0.009208
                  10,            0.056508,            0.014193,            0.013491,             0.75871,             0.25388,             0.27207,             0.13064,            0.051691,           0.0075479,             0.01507,            0.009109,            0.009109,            0.009109
                  11,            0.056595,            0.013579,             0.01123,             0.77556,             0.28028,             0.30463,             0.13262,            0.048718,           0.0068485,             0.01399,             0.00901,             0.00901,             0.00901
                  12,            0.051444,            0.012197,            0.011156,             0.98131,             0.17679,             0.25778,             0.10317,            0.052273,           0.0068995,            0.022859,            0.008911,            0.008911,            0.008911
                  13,            0.048457,            0.011598,            0.011217,              0.9078,              0.3081,             0.36403,             0.20215,            0.047466,           0.0070162,            0.012655,            0.008812,            0.008812,            0.008812
                  14,            0.050134,            0.012232,            0.010252,             0.95103,             0.18224,             0.23057,             0.13843,            0.052282,           0.0069324,            0.010336,            0.008713,            0.008713,            0.008713
                  15,            0.048822,            0.011436,           0.0096908,             0.84199,             0.32748,             0.35616,             0.19704,            0.044599,           0.0070844,            0.010813,            0.008614,            0.008614,            0.008614
                  16,            0.047583,            0.012011,           0.0088957,             0.84254,             0.27425,             0.32389,             0.14788,            0.049991,           0.0076903,            0.016776,            0.008515,            0.008515,            0.008515
                  17,            0.047049,            0.011411,           0.0087825,              0.8718,             0.29498,             0.31772,             0.15632,            0.049678,            0.006164,            0.013344,            0.008416,            0.008416,            0.008416
                  18,            0.046925,            0.012049,            0.009437,             0.91885,             0.35811,             0.42724,             0.23041,            0.044732,           0.0063159,            0.012737,            0.008317,            0.008317,            0.008317
                  19,            0.047402,            0.011328,            0.008759,             0.98134,             0.19311,             0.31438,             0.18171,            0.041047,           0.0070875,            0.015062,            0.008218,            0.008218,            0.008218
                  20,            0.044464,            0.011052,            0.010717,             0.92834,             0.31043,             0.37703,             0.19783,            0.043169,           0.0065207,           0.0088729,            0.008119,            0.008119,            0.008119
                  21,            0.044321,            0.010756,           0.0094382,             0.96615,             0.19548,              0.2372,             0.13827,            0.047358,           0.0076501,            0.024021,             0.00802,             0.00802,             0.00802
                  22,            0.044134,            0.010191,           0.0078389,             0.78842,             0.25375,             0.27978,              0.1666,            0.043206,           0.0072871,            0.013464,            0.007921,            0.007921,            0.007921
                  23,            0.045089,            0.010626,           0.0071765,             0.94336,             0.31641,              0.3845,             0.24421,             0.04154,           0.0069262,            0.007704,            0.007822,            0.007822,            0.007822
                  24,            0.043166,           0.0097836,           0.0058219,             0.95739,             0.36673,             0.44206,              0.2831,            0.036389,           0.0063666,           0.0080431,            0.007723,            0.007723,            0.007723
                  25,            0.043861,             0.01084,           0.0084798,              0.9456,              0.3338,             0.41709,             0.20585,            0.042025,           0.0065785,            0.010906,            0.007624,            0.007624,            0.007624
                  26,            0.038802,            0.010711,           0.0058018,             0.87924,              0.3685,             0.40566,             0.24934,            0.038255,           0.0061401,            0.010244,            0.007525,            0.007525,            0.007525
                  27,            0.042314,            0.010594,           0.0073519,             0.97537,             0.34799,             0.42787,             0.23001,            0.040516,           0.0064119,            0.010634,            0.007426,            0.007426,            0.007426
                  28,            0.041152,            0.011115,            0.011336,             0.98746,             0.36099,             0.46554,             0.23153,            0.038541,           0.0058597,            0.010208,            0.007327,            0.007327,            0.007327
                  29,            0.041759,            0.010394,           0.0059252,             0.94026,               0.392,              0.4884,             0.31979,            0.034231,           0.0059568,           0.0062028,            0.007228,            0.007228,            0.007228
                  30,            0.038936,           0.0096587,           0.0074187,             0.91276,             0.45638,             0.51658,             0.32736,            0.035786,           0.0054685,           0.0050629,            0.007129,            0.007129,            0.007129
                  31,            0.040734,            0.011391,           0.0072166,             0.92604,             0.44352,             0.52612,             0.33055,            0.034118,           0.0055949,            0.004878,             0.00703,             0.00703,             0.00703
                  32,            0.039851,           0.0098214,            0.006614,             0.84684,             0.42322,             0.52341,             0.32557,            0.037253,           0.0057545,           0.0095477,            0.006931,            0.006931,            0.006931
                  33,            0.039705,            0.010218,           0.0051483,             0.85128,             0.40277,             0.60357,             0.34979,             0.03833,           0.0058593,            0.008848,            0.006832,            0.006832,            0.006832
                  34,            0.037808,           0.0094857,           0.0064137,             0.86033,             0.30952,             0.42413,             0.23914,            0.041378,           0.0063204,            0.012104,            0.006733,            0.006733,            0.006733
                  35,            0.039123,           0.0089171,           0.0044603,             0.86975,             0.50558,             0.61427,             0.31116,            0.036771,           0.0052677,           0.0073045,            0.006634,            0.006634,            0.006634
                  36,            0.037152,           0.0092776,           0.0051277,              0.8761,             0.53175,             0.59962,             0.35207,            0.035598,           0.0054804,           0.0053619,            0.006535,            0.006535,            0.006535
