               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.091534,            0.017925,            0.038047,          0.00089203,             0.61091,           0.0043897,           0.0013363,             0.06008,            0.011529,             0.02563,            0.070508,           0.0032768,           0.0032768
                   1,            0.066905,            0.011372,            0.029202,          0.00079215,             0.64727,            0.049045,            0.019942,            0.047417,            0.007842,            0.020973,            0.038327,           0.0044288,           0.0044288
                   2,            0.057253,           0.0084862,            0.022048,          0.00095317,             0.78121,             0.23276,             0.11261,            0.041613,           0.0062201,            0.014087,           0.0039458,           0.0033808,           0.0033808
