               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.092285,            0.017639,            0.037212,          0.00093407,             0.51394,            0.016574,           0.0048103,            0.061145,            0.011598,            0.025139,            0.070508,           0.0032768,           0.0032768
                   1,            0.065763,            0.011437,            0.029297,           0.0010749,             0.59333,             0.12222,            0.037395,            0.052172,           0.0072031,            0.022311,            0.038327,           0.0044288,           0.0044288
                   2,            0.053947,            0.008865,            0.022723,          0.00090422,             0.88909,             0.27671,             0.16302,            0.037915,           0.0064755,            0.016003,           0.0039458,           0.0033808,           0.0033808
