               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.085463,            0.013598,            0.040845,           0.0011381,             0.70852,           0.0038132,            0.001481,            0.042197,           0.0051161,            0.024752,            0.070167,           0.0033148,           0.0033148
                   1,            0.058065,           0.0075835,            0.028679,           0.0014982,             0.83301,             0.13732,            0.049531,            0.040613,           0.0037294,            0.016942,            0.039838,           0.0063191,           0.0063191
                   2,            0.055117,            0.006335,            0.021691,           0.0028989,             0.80685,             0.19979,             0.07109,            0.038305,           0.0044494,             0.01488,           0.0091785,           0.0089933,           0.0089933
                   3,            0.055448,           0.0060225,            0.019681,           0.0070407,             0.50594,            0.065809,            0.023412,            0.037428,           0.0049084,             0.03547,            0.008515,            0.008515,            0.008515
                   4,            0.054704,           0.0059348,            0.015838,             0.70536,             0.17094,             0.38185,             0.17657,            0.036353,           0.0091076,            0.020562,            0.008515,            0.008515,            0.008515
                   5,            0.054368,            0.005538,            0.015459,             0.20248,             0.39626,             0.24909,             0.11625,            0.035934,           0.0037381,            0.016661,             0.00802,             0.00802,             0.00802
                   6,            0.049893,           0.0051839,            0.011799,             0.76697,             0.24788,              0.4808,             0.21027,            0.033283,           0.0031959,           0.0093065,            0.007525,            0.007525,            0.007525
                   7,            0.048327,           0.0050503,            0.010632,             0.61968,             0.17528,             0.21051,              0.1065,            0.041307,           0.0038291,            0.046945,             0.00703,             0.00703,             0.00703
                   8,            0.045891,           0.0047537,           0.0093234,             0.73992,             0.53101,             0.63926,             0.34821,            0.030458,           0.0029582,            0.006908,            0.006535,            0.006535,            0.006535
                   9,            0.044068,           0.0045169,           0.0075563,              0.6662,             0.63795,             0.71546,             0.41138,            0.028451,           0.0027506,           0.0060599,             0.00604,             0.00604,             0.00604
                  10,            0.043488,           0.0042544,            0.008677,              0.7972,             0.47355,             0.65398,             0.38678,            0.029421,           0.0028163,           0.0092075,            0.005545,            0.005545,            0.005545
                  11,            0.043069,           0.0042675,           0.0073321,             0.81883,             0.62938,             0.74634,             0.48949,            0.029185,           0.0024911,           0.0059111,             0.00505,             0.00505,             0.00505
                  12,            0.041082,           0.0040396,           0.0055815,             0.84405,             0.53616,             0.72553,             0.44129,            0.028793,           0.0023897,            0.013539,            0.004555,            0.004555,            0.004555
                  13,            0.038315,           0.0040641,           0.0061266,             0.69316,              0.4914,             0.67174,              0.4422,            0.027854,           0.0028657,            0.012784,             0.00406,             0.00406,             0.00406
                  14,             0.03692,           0.0036189,           0.0040225,             0.93822,             0.64099,              0.7988,             0.47882,            0.027061,            0.002116,           0.0031166,            0.003565,            0.003565,            0.003565
                  15,            0.037021,           0.0035548,           0.0051134,             0.87195,             0.81339,             0.88378,             0.60738,            0.025122,           0.0019184,           0.0032221,             0.00307,             0.00307,             0.00307
                  16,            0.034289,           0.0036251,           0.0029915,             0.96975,              0.8589,              0.9245,             0.59228,            0.022137,           0.0015653,          0.00062367,            0.002575,            0.002575,            0.002575
                  17,            0.034373,            0.003252,           0.0028132,             0.98238,             0.84097,             0.94062,             0.65734,            0.021213,             0.00155,          0.00055323,             0.00208,             0.00208,             0.00208
                  18,            0.031017,           0.0033585,           0.0032783,             0.97286,             0.87614,             0.95329,             0.70851,            0.018706,           0.0015374,          0.00057835,            0.001585,            0.001585,            0.001585
                  19,            0.029658,           0.0032426,           0.0033417,             0.99462,             0.84526,             0.94675,             0.66853,            0.020048,           0.0015264,          0.00053593,             0.00109,             0.00109,             0.00109
