               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.096464,            0.025977,            0.049745,          0.00066288,             0.17801,          0.00052007,             0.00011,            0.074683,            0.013019,            0.042608,            0.070667,           0.0032593,           0.0032593
                   1,            0.073724,            0.020527,            0.041905,           0.0011059,             0.39504,            0.044925,            0.012129,            0.062019,            0.010583,            0.037582,            0.040536,           0.0064621,           0.0064621
                   2,            0.063885,            0.019895,            0.040037,          0.00093346,             0.34693,            0.024762,            0.010354,             0.06564,           0.0099127,            0.036064,            0.010274,           0.0095329,           0.0095329
                   3,            0.058816,            0.017575,            0.037895,              0.6978,            0.043908,             0.04034,            0.018043,            0.062966,            0.011431,            0.035504,            0.009406,            0.009406,            0.009406
                   4,            0.054506,            0.016808,            0.034857,             0.72229,            0.086021,             0.11592,            0.042772,            0.050821,            0.008167,            0.031061,            0.009406,            0.009406,            0.009406
                   5,             0.05254,            0.015782,             0.03361,             0.61676,            0.028138,           0.0058449,           0.0015931,            0.074146,           0.0094827,            0.039553,            0.009208,            0.009208,            0.009208
                   6,            0.050487,            0.014695,            0.031719,             0.64822,             0.19542,             0.15766,            0.069425,            0.052322,           0.0087624,            0.030305,             0.00901,             0.00901,             0.00901
                   7,            0.047951,            0.013363,            0.031068,             0.67146,             0.12885,             0.11778,            0.053051,            0.052504,           0.0091685,            0.034849,            0.008812,            0.008812,            0.008812
                   8,            0.044862,            0.012289,            0.025746,             0.51985,             0.33654,             0.28339,             0.12513,            0.045828,           0.0078637,            0.027787,            0.008614,            0.008614,            0.008614
                   9,            0.046811,             0.01246,            0.026494,             0.82066,              0.3437,             0.41531,             0.25041,            0.041719,           0.0063614,             0.02125,            0.008416,            0.008416,            0.008416
                  10,            0.044847,            0.012325,            0.023615,             0.49574,             0.43247,             0.46959,             0.29137,            0.039047,           0.0062639,            0.025713,            0.008218,            0.008218,            0.008218
                  11,            0.043158,            0.011524,            0.020862,             0.56364,             0.45593,             0.46621,             0.26706,            0.039822,           0.0060268,            0.025021,             0.00802,             0.00802,             0.00802
                  12,            0.043281,            0.011681,            0.020289,             0.73518,            0.087916,             0.12041,            0.056111,            0.052003,            0.010459,            0.033745,            0.007822,            0.007822,            0.007822
                  13,            0.041256,            0.011112,            0.019368,             0.53015,             0.54497,             0.57615,             0.32193,             0.04027,           0.0055198,            0.020581,            0.007624,            0.007624,            0.007624
                  14,            0.039137,             0.01008,             0.01955,             0.39603,             0.41681,              0.3951,             0.22387,            0.042238,             0.00686,            0.024714,            0.007426,            0.007426,            0.007426
                  15,            0.040541,            0.010496,            0.017936,             0.51824,              0.3052,             0.33663,             0.17543,             0.04364,           0.0088178,            0.028031,            0.007228,            0.007228,            0.007228
                  16,            0.039446,            0.010526,            0.017083,             0.69439,             0.58822,              0.6316,              0.3626,            0.034687,           0.0054939,            0.018823,             0.00703,             0.00703,             0.00703
                  17,            0.038194,            0.010559,             0.01594,             0.55463,              0.3435,             0.29207,             0.18328,            0.044367,           0.0084486,             0.02764,            0.006832,            0.006832,            0.006832
                  18,            0.037489,            0.010205,            0.016523,             0.58464,             0.45497,             0.46599,              0.2802,            0.037582,           0.0059523,            0.030717,            0.006634,            0.006634,            0.006634
                  19,            0.038059,            0.010099,            0.016182,             0.71547,             0.59472,              0.5801,             0.35575,            0.031854,           0.0051024,            0.025529,            0.006436,            0.006436,            0.006436
                  20,            0.036755,            0.010013,            0.015116,             0.66248,             0.42151,             0.47263,             0.27898,            0.037597,           0.0069149,            0.021716,            0.006238,            0.006238,            0.006238
                  21,            0.038546,           0.0099942,            0.014424,             0.86115,             0.16303,             0.19258,            0.096555,            0.057811,            0.008692,            0.041658,             0.00604,             0.00604,             0.00604
                  22,            0.035137,           0.0098452,             0.01456,             0.65697,             0.34249,             0.44643,              0.2294,              0.0369,           0.0065449,            0.030174,            0.005842,            0.005842,            0.005842
                  23,            0.035903,           0.0092943,            0.012649,             0.83108,              0.7414,             0.78984,             0.50855,            0.028877,           0.0045148,            0.012198,            0.005644,            0.005644,            0.005644
                  24,            0.035673,           0.0094487,            0.011908,              0.7298,             0.51519,             0.57765,             0.34942,            0.033371,           0.0066794,            0.022954,            0.005446,            0.005446,            0.005446
                  25,            0.035536,           0.0095166,            0.011871,             0.79317,             0.76297,             0.80097,             0.52485,            0.028258,           0.0044479,           0.0095178,            0.005248,            0.005248,            0.005248
                  26,            0.032671,           0.0089702,            0.011189,              0.7289,             0.54441,             0.59021,             0.38768,            0.031657,            0.005886,            0.015608,             0.00505,             0.00505,             0.00505
                  27,            0.031889,           0.0097077,            0.010806,             0.81869,             0.32418,             0.41705,             0.20834,            0.040852,           0.0076792,            0.030993,            0.004852,            0.004852,            0.004852
                  28,            0.031913,           0.0086629,            0.011304,             0.71841,             0.53101,             0.63167,             0.37466,             0.03309,           0.0059043,            0.017193,            0.004654,            0.004654,            0.004654
                  29,            0.031646,            0.008903,           0.0095805,               0.808,             0.65078,             0.72493,             0.46655,            0.033088,           0.0053111,            0.012825,            0.004456,            0.004456,            0.004456
                  30,            0.030396,           0.0085372,           0.0091154,             0.73715,             0.49017,             0.56868,             0.33033,            0.036254,           0.0064277,            0.017575,            0.004258,            0.004258,            0.004258
                  31,            0.030157,           0.0084447,           0.0098939,             0.89288,             0.42331,             0.55458,              0.3067,            0.036829,           0.0065439,            0.020291,             0.00406,             0.00406,             0.00406
                  32,             0.02945,           0.0078784,           0.0076787,             0.87159,              0.7888,             0.85003,             0.56675,            0.025765,           0.0042614,           0.0078742,            0.003862,            0.003862,            0.003862
                  33,            0.029931,           0.0084159,           0.0095339,              0.7402,             0.57423,             0.61167,             0.38186,            0.030678,           0.0061638,            0.018344,            0.003664,            0.003664,            0.003664
                  34,            0.029353,           0.0082657,           0.0071651,              0.8783,             0.60087,             0.76184,             0.51488,            0.026793,           0.0043716,            0.012822,            0.003466,            0.003466,            0.003466
                  35,             0.02939,           0.0079658,            0.007375,             0.90687,             0.80305,             0.86531,             0.60678,            0.025733,           0.0039502,           0.0080106,            0.003268,            0.003268,            0.003268
                  36,            0.028882,           0.0082601,           0.0063549,             0.79239,             0.72494,             0.81155,             0.50239,             0.02684,           0.0044218,            0.009354,             0.00307,             0.00307,             0.00307
                  37,            0.027444,           0.0081403,           0.0071471,             0.87966,             0.74789,             0.80839,             0.51668,            0.027581,           0.0044739,            0.011238,            0.002872,            0.002872,            0.002872
                  38,              0.0284,           0.0081187,           0.0078695,             0.85927,             0.79876,             0.85987,             0.60687,            0.025048,           0.0040905,           0.0080985,            0.002674,            0.002674,            0.002674
                  39,             0.02719,           0.0079519,           0.0062493,             0.87227,             0.83693,             0.87092,             0.60152,            0.024995,           0.0040792,           0.0073687,            0.002476,            0.002476,            0.002476
                  40,             0.02652,           0.0079558,           0.0060803,              0.9137,             0.84271,             0.89501,             0.63611,            0.023895,            0.003916,           0.0069921,            0.002278,            0.002278,            0.002278
                  41,            0.026381,           0.0076547,            0.006514,             0.87199,             0.84813,             0.90372,             0.62499,            0.025048,            0.003766,           0.0062722,             0.00208,             0.00208,             0.00208
                  42,             0.02582,           0.0077702,           0.0054563,             0.70855,             0.64216,                0.65,             0.41447,            0.031021,           0.0055554,            0.014486,            0.001882,            0.001882,            0.001882
                  43,            0.025669,           0.0074666,           0.0068648,             0.91611,             0.83428,             0.89279,             0.64447,            0.022429,           0.0035987,           0.0063943,            0.001684,            0.001684,            0.001684
                  44,            0.024773,           0.0073685,           0.0048629,             0.93036,              0.7852,             0.85995,             0.60678,            0.023231,           0.0039836,           0.0079206,            0.001486,            0.001486,            0.001486
                  45,             0.02435,           0.0069481,           0.0044802,             0.94214,             0.80857,             0.87983,             0.60526,            0.024563,           0.0040113,           0.0085256,            0.001288,            0.001288,            0.001288
                  46,            0.024366,           0.0074935,           0.0050689,             0.95325,             0.84284,             0.90407,             0.66054,            0.022189,           0.0036461,           0.0068577,             0.00109,             0.00109,             0.00109
                  47,            0.024706,           0.0073209,           0.0049046,             0.87986,             0.79809,             0.85445,             0.57993,            0.024223,           0.0042779,           0.0086637,            0.000892,            0.000892,            0.000892
                  48,             0.02313,           0.0071452,           0.0047957,             0.91442,             0.81691,             0.86641,              0.6086,            0.024196,           0.0038744,           0.0080956,            0.000694,            0.000694,            0.000694
                  49,            0.023373,           0.0073671,           0.0043095,             0.93203,             0.85781,             0.91296,             0.65956,            0.021434,           0.0036556,           0.0060636,            0.000496,            0.000496,            0.000496
